userId,item1,item2,item3,item4,item5
-9223372036854775808,-4110354420726924665,-7292285110016212249,-6451309518266745024,-8546699624128696169,-8445941083309532873
-8763398617720485024,-4110354420726924665,-7292285110016212249,-6451309518266745024,-8546699624128696169,-8445941083309532873
-8445941083309532873,-4110354420726924665,-7292285110016212249,-6451309518266745024,-8546699624128696169,-9223372036854775808
-8546699624128696169,-4110354420726924665,-7292285110016212249,-6451309518266745024,-8445941083309532873,-9223372036854775808
-6451309518266745024,-4110354420726924665,-7292285110016212249,-8546699624128696169,-8445941083309532873,-9223372036854775808
-4110354420726924665,-7292285110016212249,-6451309518266745024,-8546699624128696169,-8445941083309532873,-9223372036854775808
-7292285110016212249,-4110354420726924665,-6451309518266745024,-8546699624128696169,-8445941083309532873,-9223372036854775808
344280948527967603,-4110354420726924665,-7292285110016212249,-6451309518266745024,-8546699624128696169,-8445941083309532873
1395789369402380392,-4110354420726924665,-7292285110016212249,-6451309518266745024,-8546699624128696169,-8445941083309532873
3609194402293569455,-4110354420726924665,-7292285110016212249,-6451309518266745024,-8546699624128696169,-8445941083309532873
4340306774493623681,-4110354420726924665,-7292285110016212249,-6451309518266745024,-8546699624128696169,-8445941083309532873
